longitude,latitude,city,county,class,type,fips
"-108.972105951645","45.4843373855721",Joliet,"10",TN,Town,"3039700"
"-108.770664536763","45.6735107564693",Laurel,"3",3rd,City,"3042700"
"-107.367775031452","45.3142591408514",Lodge Grass,"22",TN,Town,"3044275"
"-107.870786127828","48.355530844035",Malta,"11",3rd,City,"3047425"
"-109.250182703514","45.1933151232923",Red Lodge,"10",3rd,City,"3061525"
"-111.175147383045","45.7795994096988",Belgrade,"6",3rd,City,"3004975"
"-109.9486084619","45.8347129097975",Big Timber,"40",3rd,City,"3006475"
"-112.119759513522","46.2358274487299",Boulder,"51",TN,Town,"3008575"
"-111.05508245465","45.6831066294502",Bozeman,"6",1st,City,"3008950"
"-110.605725302084","45.8839435502341",Clyde Park,"49",TN,Town,"3015550"
"-112.635319168997","45.2172094766522",Dillon,"18",3rd,City,"3020800"
"-111.915874288305","46.5850035091637",East Helena,"5",3rd,City,"3023125"
"-111.731883389964","45.3459926071612",Ennis,"25",TN,Town,"3024475"
"-109.835125237707","46.4367717881655",Harlowton,"44",3rd,City,"3034450"
"-111.334237451196","45.8623154300268",Manhattan,"6",TN,Town,"3047575"
"-112.194636373765","45.4588253362636",Sheridan,"25",TN,Town,"3067600"
"-111.55240025619","45.8899065693649",Three Forks,"6",3rd,City,"3073975"
"-111.519705173897","46.3192473185308",Townsend,"43",3rd,City,"3074575"
"-112.334090142361","45.5428903429068",Twin Bridges,"25",TN,Town,"3075475"
"-111.936876269961","45.2961871870935",Virginia City,"25",TN,Town,"3077125"
"-110.903878392318","46.5452592023042",White Sulphur Springs,"47",3rd,City,"3080050"
"-112.097605232456","45.8710200572457",Whitehall,"51",TN,Town,"3079900"
"-112.020188984306","46.5965547192113",Helena,"5",1st,City,"3035600"
"-114.359128388874","48.4328846004104",Whitefish,"7",3rd,City,"3079825"
"-107.608347406136","45.742315823307",Hardin,"22",3rd,City,"3034225"
"-110.553728846835","45.6665709913495",Livingston,"49",2nd,City,"3043975"
