County #,County,year,per_capita_residential_taxes
42,Carter,2005,201.57913980127182
2,Cascade,2005,381.1923956523533
19,Chouteau,2005,320.00909328836724
14,Custer,2005,365.69963151886543
37,Daniels,2005,372.8928841863075
16,Dawson,2005,321.1807179613637
30,Deer Lodge,2005,401.31121320034504
39,Fallon,2005,147.50334424410028
8,Fergus,2005,400.2194634830479
7,Flathead,2005,724.8467286202833
6,Gallatin,2005,612.0703620412156
50,Garfield,2005,262.3345535108152
38,Glacier,2005,182.3889810577503
53,Golden Valley,2005,258.15747976331363
46,Granite,2005,641.3142006148222
12,Hill,2005,308.0452071650913
51,Jefferson,2005,457.320697719675
36,Judith Basin,2005,310.1995915085609
15,Lake,2005,619.2586303303001
5,Lewis & Clark,2005,534.2081166640468
48,Liberty,2005,322.8536175419241
56,Lincoln,2005,398.06877657977077
25,Madison,2005,5221.05341350394
41,McCone,2005,71.50405495492997
47,Meagher,2005,451.9019979936808
54,Mineral,2005,456.55028584321315
4,Missoula,2005,596.8394393290197
23,Musselshell,2005,338.0582588642147
49,Park,2005,560.50150257854
55,Petroleum,2005,288.80648928861785
11,Phillips,2005,246.7132242975402
26,Pondera,2005,309.56439710962917
9,Powder River,2005,295.0903490856814
28,Powell,2005,290.1603668700872
45,Prairie,2005,244.43825743169396
13,Ravalli,2005,524.9154424959755
27,Richland,2005,212.8186352894537
17,Roosevelt,2005,118.85551199674235
29,Rosebud,2005,98.53258845033402
35,Sanders,2005,359.59862423795676
34,Sheridan,2005,299.55711709487827
1,Silver Bow,2005,356.86602866552937
32,Stillwater,2005,454.5128089164014
40,Sweet Grass,2005,539.4279067349661
31,Teton,2005,375.3677851826372
21,Toole,2005,283.0805460233918
33,Treasure,2005,221.5818441906005
20,Valley,2005,244.50345992941496
44,Wheatland,2005,246.37327406999043
52,Wibaux,2005,176.46741047236182
3,Yellowstone,2005,452.13336793646397
18,Beaverhead,2006,447.09699452230353
22,Big Horn,2006,105.22166056682615
24,Blaine,2006,180.8581954854651
43,Broadwater,2006,346.6176545381202
10,Carbon,2006,654.9229664552239
42,Carter,2006,208.11429507660964
2,Cascade,2006,395.7118263962792
19,Chouteau,2006,313.3872597302505
14,Custer,2006,372.6730027985959
37,Daniels,2006,402.57463430778034
16,Dawson,2006,335.5281474291201
30,Deer Lodge,2006,428.71986932570815
39,Fallon,2006,152.34772188464362
8,Fergus,2006,427.6236605529953
7,Flathead,2006,756.0706111555522
6,Gallatin,2006,636.6075879403224
50,Garfield,2006,270.779766431468
38,Glacier,2006,141.13242151320753
53,Golden Valley,2006,290.17680924974314
46,Granite,2006,701.8479499103884
12,Hill,2006,309.8304864670547
51,Jefferson,2006,468.39826292472935
36,Judith Basin,2006,330.4941952003728
15,Lake,2006,671.1872506973448
5,Lewis & Clark,2006,544.7812679865945
48,Liberty,2006,335.107656101083
56,Lincoln,2006,415.205516222176
25,Madison,2006,6190.075887232295
41,McCone,2006,73.07351310908348
47,Meagher,2006,496.44280347893925
54,Mineral,2006,498.48294268724766
4,Missoula,2006,626.6142898459353
23,Musselshell,2006,344.7547799804457
49,Park,2006,597.4993902298917
55,Petroleum,2006,262.10529724444444
11,Phillips,2006,245.53884001200197
26,Pondera,2006,319.75891064646794
9,Powder River,2006,298.1737238628763
28,Powell,2006,303.7918234771609
45,Prairie,2006,247.29112735883425
13,Ravalli,2006,542.4617488234861
27,Richland,2006,214.69076351677998
17,Roosevelt,2006,127.69092857267866
29,Rosebud,2006,99.80117567406425
35,Sanders,2006,398.80034874083015
34,Sheridan,2006,294.6834826889079
1,Silver Bow,2006,383.85782492868026
32,Stillwater,2006,492.83984887192514
40,Sweet Grass,2006,542.6205100324589
31,Teton,2006,403.32381028968905
21,Toole,2006,290.39281759488694
33,Treasure,2006,244.5560730171278
20,Valley,2006,263.6926593248075
44,Wheatland,2006,249.489574809828
52,Wibaux,2006,161.8594630894309
3,Yellowstone,2006,454.23958719147174
18,Beaverhead,2007,456.307469751883
22,Big Horn,2007,99.91593402621722
24,Blaine,2007,187.35216000478982
43,Broadwater,2007,366.0973505344862
10,Carbon,2007,726.0813520836256
42,Carter,2007,224.40883013980266
2,Cascade,2007,413.90899732805656
19,Chouteau,2007,332.87335288026463
14,Custer,2007,378.00788813675956
37,Daniels,2007,424.5356462044653
16,Dawson,2007,333.2932523703041
30,Deer Lodge,2007,441.92252124784113
39,Fallon,2007,157.4463271134393
8,Fergus,2007,444.17574713425813
7,Flathead,2007,785.3600763020454
6,Gallatin,2007,690.8590911227195
50,Garfield,2007,301.73263398703403
38,Glacier,2007,154.0756261408301
53,Golden Valley,2007,322.4655503008299
46,Granite,2007,729.3190218130965
12,Hill,2007,313.73080840122265
51,Jefferson,2007,499.5956448605073
36,Judith Basin,2007,348.4401756120979
15,Lake,2007,701.7580517903667
5,Lewis & Clark,2007,556.6380777713287
48,Liberty,2007,337.7092024194991
56,Lincoln,2007,428.0200306743827
25,Madison,2007,7552.001738522919
41,McCone,2007,71.65009958068784
47,Meagher,2007,562.4686794287211
54,Mineral,2007,565.0021696583253
4,Missoula,2007,649.5413320467442
23,Musselshell,2007,339.7683238734638
49,Park,2007,625.6601088579099
55,Petroleum,2007,271.5955984595745
11,Phillips,2007,252.2857926472693
26,Pondera,2007,330.69506863997407
9,Powder River,2007,357.07618904031796
28,Powell,2007,309.30604538007583
45,Prairie,2007,270.9251086241921
13,Ravalli,2007,571.1045309647951
27,Richland,2007,195.14698566802053
17,Roosevelt,2007,137.44010358990752
29,Rosebud,2007,104.52185355484652
35,Sanders,2007,408.3026753356213
34,Sheridan,2007,285.4550128019602
1,Silver Bow,2007,377.8794090364
32,Stillwater,2007,469.67056889906394
40,Sweet Grass,2007,537.5187772022234
31,Teton,2007,406.8136804834771
21,Toole,2007,301.0620649607567
33,Treasure,2007,258.6180911764706
20,Valley,2007,287.56513990725585
44,Wheatland,2007,260.68254433653846
52,Wibaux,2007,165.06680330374755
3,Yellowstone,2007,477.3017998635511
18,Beaverhead,2008,479.8819913829369
22,Big Horn,2008,110.16199786415153
24,Blaine,2008,203.86981208326824
43,Broadwater,2008,416.77985761642265
10,Carbon,2008,764.8982820873053
42,Carter,2008,243.95747588737203
2,Cascade,2008,443.33773480075496
19,Chouteau,2008,344.7023108500173
14,Custer,2008,408.4286261684759
37,Daniels,2008,456.2894374823943
16,Dawson,2008,347.85326009187673
30,Deer Lodge,2008,472.7988839963639
39,Fallon,2008,166.34192793729963
8,Fergus,2008,496.1514912106914
7,Flathead,2008,850.0586371277867
6,Gallatin,2008,796.6302131126038
50,Garfield,2008,348.2180808962655
38,Glacier,2008,165.87626810359288
53,Golden Valley,2008,343.96780191011254
46,Granite,2008,772.7981493335535
12,Hill,2008,361.4262276587577
51,Jefferson,2008,509.06622522127975
36,Judith Basin,2008,358.9525017527765
15,Lake,2008,755.3060688132209
5,Lewis & Clark,2008,627.9692352397676
48,Liberty,2008,345.61899331235963
56,Lincoln,2008,448.3973431605347
25,Madison,2008,8941.310137843024
41,McCone,2008,77.5540353648684
47,Meagher,2008,581.9225958320128
54,Mineral,2008,609.0047030260952
4,Missoula,2008,746.3672980737288
23,Musselshell,2008,386.3865065193307
49,Park,2008,680.7273115961248
55,Petroleum,2008,331.4398553638254
11,Phillips,2008,265.59880698230523
26,Pondera,2008,359.19369001471307
9,Powder River,2008,308.47685736332573
28,Powell,2008,365.51975879050593
45,Prairie,2008,296.2795080409617
13,Ravalli,2008,616.3496533365984
27,Richland,2008,204.05271675291624
17,Roosevelt,2008,149.85803816171395
29,Rosebud,2008,110.89053976690487
35,Sanders,2008,443.0120733765414
34,Sheridan,2008,318.81598728212697
1,Silver Bow,2008,391.3892864595414
32,Stillwater,2008,525.9209046137505
40,Sweet Grass,2008,595.1033540319575
31,Teton,2008,439.97364787237507
21,Toole,2008,266.8672227682615
33,Treasure,2008,274.88741433687005
20,Valley,2008,292.17877940256244
44,Wheatland,2008,272.7649176615528
52,Wibaux,2008,177.88388853955377
3,Yellowstone,2008,517.6772199869673
18,Beaverhead,2009,487.9759353326087
22,Big Horn,2009,99.66948475249077
24,Blaine,2009,188.19185145104737
43,Broadwater,2009,420.23434488537123
10,Carbon,2009,782.3378961337586
42,Carter,2009,242.3503862033898
2,Cascade,2009,418.2027380581308
19,Chouteau,2009,333.9286377628172
14,Custer,2009,376.1041510776232
37,Daniels,2009,366.46010000577365
16,Dawson,2009,321.2865817073712
30,Deer Lodge,2009,473.8446256457884
39,Fallon,2009,163.20540723455932
8,Fergus,2009,466.81664261429415
7,Flathead,2009,878.2036863654165
6,Gallatin,2009,781.6432339769244
50,Garfield,2009,303.57058408870967
38,Glacier,2009,144.94586056384745
53,Golden Valley,2009,338.2344135785953
46,Granite,2009,779.4443358357868
12,Hill,2009,323.0802031693886
51,Jefferson,2009,534.4118126997536
36,Judith Basin,2009,341.21966139210014
15,Lake,2009,834.7538023657041
5,Lewis & Clark,2009,591.968281700308
48,Liberty,2009,307.0530399824792
56,Lincoln,2009,464.65421775499834
25,Madison,2009,10346.065915560115
41,McCone,2009,67.32827044696377
47,Meagher,2009,568.4177536373221
54,Mineral,2009,631.5715027047619
4,Missoula,2009,693.9650467609484
23,Musselshell,2009,345.535141949531
49,Park,2009,677.3515930855255
55,Petroleum,2009,321.58915407786884
11,Phillips,2009,232.6931854078265
26,Pondera,2009,334.33808074316573
9,Powder River,2009,288.13389527617954
28,Powell,2009,346.1052892880304
45,Prairie,2009,275.2718956277436
13,Ravalli,2009,624.0764623951345
27,Richland,2009,202.62247947515237
17,Roosevelt,2009,128.20639139636154
29,Rosebud,2009,108.18520441901025
35,Sanders,2009,431.3097602005057
34,Sheridan,2009,274.0794028579864
1,Silver Bow,2009,375.95207384027276
32,Stillwater,2009,502.6700487209431
40,Sweet Grass,2009,633.1903850308228
31,Teton,2009,408.1743232661158
21,Toole,2009,261.4919689227836
33,Treasure,2009,270.0377366944444
20,Valley,2009,289.0045755681045
44,Wheatland,2009,257.9335403568119
52,Wibaux,2009,182.8145866407767
3,Yellowstone,2009,490.9621849071107
18,Beaverhead,2010,491.1972330415992
22,Big Horn,2010,116.36707360859465
24,Blaine,2010,179.57582966077194
43,Broadwater,2010,435.22369508700285
10,Carbon,2010,826.8786135098877
42,Carter,2010,216.52478086206895
2,Cascade,2010,442.60362675390456
19,Chouteau,2010,305.5707572943201
14,Custer,2010,396.926880358334
37,Daniels,2010,377.53422204688394
16,Dawson,2010,330.54096836983234
30,Deer Lodge,2010,388.54927173323284
39,Fallon,2010,165.53739659397715
8,Fergus,2010,475.1802285346911
7,Flathead,2010,933.919299584888
6,Gallatin,2010,862.105676776612
50,Garfield,2010,322.84706095637586
38,Glacier,2010,165.11690212295085
53,Golden Valley,2010,344.9526235722411
46,Granite,2010,803.0363537207792
12,Hill,2010,361.317396256423
51,Jefferson,2010,592.079676397791
36,Judith Basin,2010,354.2445702750965
15,Lake,2010,881.6665563087873
5,Lewis & Clark,2010,647.5277888863551
48,Liberty,2010,312.437162443593
56,Lincoln,2010,513.724519988322
25,Madison,2010,10470.106974848139
41,McCone,2010,69.69520443939197
47,Meagher,2010,572.2373989723111
54,Mineral,2010,649.8854506625651
4,Missoula,2010,761.9090968015639
23,Musselshell,2010,343.55822649945117
49,Park,2010,624.5864028418589
55,Petroleum,2010,305.3964365644172
11,Phillips,2010,260.46985970837255
26,Pondera,2010,347.90173850495046
9,Powder River,2010,303.88296267970105
28,Powell,2010,371.92297324120244
45,Prairie,2010,268.0369640152156
13,Ravalli,2010,653.8347664816117
27,Richland,2010,210.47350091915155
17,Roosevelt,2010,132.63182668230561
29,Rosebud,2010,116.44903924556853
35,Sanders,2010,434.32214170788
34,Sheridan,2010,301.1063638034442
1,Silver Bow,2010,420.40177460023955
32,Stillwater,2010,493.92638744842714
40,Sweet Grass,2010,618.8039226298342
31,Teton,2010,420.3369398781693
21,Toole,2010,270.43700516938054
33,Treasure,2010,275.45064406685236
20,Valley,2010,293.3898872933044
44,Wheatland,2010,258.00676155844155
52,Wibaux,2010,151.88694615690167
3,Yellowstone,2010,527.8691918273041
18,Beaverhead,2011,540.3448118601368
22,Big Horn,2011,113.92173391990815
24,Blaine,2011,189.8983934822026
43,Broadwater,2011,449.8684985691825
10,Carbon,2011,846.8174045717668
42,Carter,2011,165.45399914612676
2,Cascade,2011,441.25069266971855
19,Chouteau,2011,327.381229006023
14,Custer,2011,387.4794657645858
37,Daniels,2011,360.6176973878478
16,Dawson,2011,313.81673105152356
30,Deer Lodge,2011,488.72977789933185
39,Fallon,2011,166.97946064846417
8,Fergus,2011,498.26004674779716
7,Flathead,2011,976.494092125831
6,Gallatin,2011,868.8172451182089
50,Garfield,2011,307.2472964266347
38,Glacier,2011,155.6190714591927
53,Golden Valley,2011,330.5570446987952
46,Granite,2011,859.5383631063556
12,Hill,2011,337.20710861543154
51,Jefferson,2011,594.5745489907695
36,Judith Basin,2011,337.68873630164256
15,Lake,2011,900.5658328773086
5,Lewis & Clark,2011,642.8667283293393
48,Liberty,2011,297.0025093568726
56,Lincoln,2011,534.2110300805217
25,Madison,2011,10088.560590111181
41,McCone,2011,70.56625148482469
47,Meagher,2011,631.9471357858286
54,Mineral,2011,689.983968076376
4,Missoula,2011,773.8646858235877
23,Musselshell,2011,304.0704055646861
49,Park,2011,802.9378306936562
55,Petroleum,2011,296.2126991020408
11,Phillips,2011,245.97400933349246
26,Pondera,2011,329.13696316292595
9,Powder River,2011,264.9110501150748
28,Powell,2011,380.90399302978955
45,Prairie,2011,240.17981699122814
13,Ravalli,2011,665.3180009217092
27,Richland,2011,200.11345358473827
17,Roosevelt,2011,125.61675983704974
29,Rosebud,2011,116.43930929604626
35,Sanders,2011,466.6220980675677
34,Sheridan,2011,322.06669567456817
1,Silver Bow,2011,411.59141324487695
32,Stillwater,2011,519.0270498363159
40,Sweet Grass,2011,596.8251280925823
31,Teton,2011,423.74123698184815
21,Toole,2011,284.1091105649388
33,Treasure,2011,268.1495799719495
20,Valley,2011,287.02160519436995
44,Wheatland,2011,258.02438768292683
52,Wibaux,2011,186.64409071428568
3,Yellowstone,2011,521.2062295332828
18,Beaverhead,2012,554.267384270143
22,Big Horn,2012,119.41682591692312
24,Blaine,2012,193.95810822155687
43,Broadwater,2012,498.63068727162226
10,Carbon,2012,859.7501220303723
42,Carter,2012,173.81469347450306
2,Cascade,2012,464.92096566173643
19,Chouteau,2012,330.26752649300283
14,Custer,2012,386.4832953767908
37,Daniels,2012,379.54215726760555
16,Dawson,2012,311.8160642439343
30,Deer Lodge,2012,480.48501618106815
39,Fallon,2012,168.4396536979511
8,Fergus,2012,495.64316385499916
7,Flathead,2012,1095.6461752214639
6,Gallatin,2012,886.5286616663964
50,Garfield,2012,304.3159766800643
38,Glacier,2012,163.50453422666087
53,Golden Valley,2012,332.95299382104
46,Granite,2012,853.5432248638003
12,Hill,2012,344.6396236910787
51,Jefferson,2012,588.1471576939391
36,Judith Basin,2012,338.63471728542896
15,Lake,2012,923.1717090388862
5,Lewis & Clark,2012,640.4469339740457
48,Liberty,2012,285.8113549394066
56,Lincoln,2012,570.0951187913165
25,Madison,2012,9925.046789788235
41,McCone,2012,70.52887500130477
47,Meagher,2012,558.0448225715801
54,Mineral,2012,669.0010716658591
4,Missoula,2012,774.1143290223806
23,Musselshell,2012,294.45134264762305
49,Park,2012,816.2811457291256
55,Petroleum,2012,304.2455243849207
11,Phillips,2012,268.8790793059935
26,Pondera,2012,349.6495242919852
9,Powder River,2012,212.62146367940673
28,Powell,2012,381.1699365287388
45,Prairie,2012,234.2407466082384
13,Ravalli,2012,649.6369396968432
27,Richland,2012,205.42685503988875
17,Roosevelt,2012,120.0324810459866
29,Rosebud,2012,117.13333168750665
35,Sanders,2012,475.95127747318446
34,Sheridan,2012,334.39012622428845
1,Silver Bow,2012,423.8611902366793
